SampleNumber,BioYear,pack,hr_type,Prey,mean_read_count,total_reads_sample,prop_reads_sample
364,2016,Staney,den,Castor canadensis,58690.66667,106801,0.549532932
366,2016,Staney,annual,Odocoileus hemionus,128362.6667,134021.6667,0.957775484
366,2016,Staney,annual,Ursus americanus,5659,134021.6667,0.042224516
367,2016,Sandy Beach,den,Castor canadensis,2599.333333,2599.333333,1
368,2016,Sandy Beach,den,Odocoileus hemionus,108654.3333,108654.3333,1
369,2016,Sandy Beach,den,Castor canadensis,3193,3193,1
370,2016,Ratz,den,Odocoileus hemionus,98968.33333,98968.33333,1
371,2016,Ratz,den,Odocoileus hemionus,171463.3333,173225.3333,0.989828278
371,2016,Ratz,den,Ursus americanus,548,173225.3333,0.00316351
371,2016,Ratz,den,Antigone canadensis,1214,173225.3333,0.007008213
375,2016,Sandy Beach,den,Odocoileus hemionus,136896.3333,143473,0.954160945
375,2016,Sandy Beach,den,Passeriformes sp.,4600.333333,143473,0.032064105
375,2016,Sandy Beach,den,Microtus sp.,1976.333333,143473,0.01377495
376,2016,Ratz,den,Odocoileus hemionus,13399.66667,13399.66667,1
377,2016,Honker,annual,Odocoileus hemionus,150051,156526.6667,0.958628988
377,2016,Honker,annual,Junco hyemalis,6475.666667,156526.6667,0.041371012
378,2016,Honker,annual,Odocoileus hemionus,143954,150944,0.953691435
378,2016,Honker,annual,Ursus americanus,6990,150944,0.046308565
381,2016,Hydaburg,den,Odocoileus hemionus,46908,46908,1
384,2016,Hydaburg,den,Odocoileus hemionus,115446,115446,1
386,2016,Hydaburg,den,Odocoileus hemionus,108615.6667,108615.6667,1
387,2016,Hydaburg,den,Odocoileus hemionus,978,978,1
388,2015,NA,NA,Odocoileus hemionus,25988.33333,25988.33333,1
392,2016,Trocadero,annual,Odocoileus hemionus,38178.66667,38178.66667,1
395,2016,Snow Pass,annual,Odocoileus hemionus,57330.66667,57545,0.996275379
395,2016,Snow Pass,annual,Haliaeetus leucocephalus,214.3333333,57545,0.003724621
396,2016,Trocadero,annual,Odocoileus hemionus,42987,42987,1
397,2016,NA,NA,Odocoileus hemionus,21364.66667,22862,0.934505584
397,2016,NA,NA,Castor canadensis,1497.333333,22862,0.065494416
398,2016,Nossuk,annual,Odocoileus hemionus,23325.66667,23325.66667,1
399,2016,Trocadero,annual,Gallus gallus,6345.5,6345.5,1
404,2015,Honker,annual,Odocoileus hemionus,30865.75,30865.75,1
405,2015,Honker,annual,Odocoileus hemionus,103642.75,105448.75,0.982873197
405,2015,Honker,annual,Castor canadensis,918,105448.75,0.008705651
405,2015,Honker,annual,Ursus americanus,888,105448.75,0.008421152
